step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
0,-0.0626,0.4672642946243286,1.3368983957219251e-07,5288.0,184.5,136.0,242.0,0.375,104.02083587646484,72.0,150.0,0.3125,0.375,0.3125,0.375,0.25,0.0,0.45576465129852295,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.1589,0.8470379114151001,4.010695187165776e-07,10922.0,194.625,122.0,232.75,0.25,182.20833587646484,122.0,218.5,0.3125,0.41367512941360474,0.3125,0.41367512941360474,0.25,3.4141238529628026e-06,0.2556484639644623,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.2993,0.8532580137252808,6.684491978609626e-07,15203.0,122.8125,52.25,207.75,0.0,122.8125,52.25,207.75,0.5625,0.375,0.5625,0.375,0.25,5.281341032059572e-06,0.38806284219026566,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.3286,1.7433345317840576,9.358288770053476e-07,20034.0,159.4375,95.5,206.0,0.3125,126.25,95.5,158.25,0.0625,0.125,0.0625,0.125,0.75,1.38406664973445e-05,0.43619439750909805,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.2228,1.232619047164917,1.2032085561497326e-06,24472.0,140.625,77.0,204.0,0.125,126.72917175292969,77.0,179.5,0.625,0.39433756470680237,0.625,0.39433756470680237,0.25,3.295016460924671e-05,0.38548387587070465,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.2275,0.000322765379678458,1.4705882352941177e-06,29308.0,155.75,55.75,243.5,0.3125,105.77083396911621,55.75,139.75,0.25,0.25,0.25,0.25,0.5,2.6871120098803658e-05,0.4267961233854294,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0517,0.6955459117889404,1.7379679144385028e-06,35061.0,209.5625,166.0,232.75,0.1875,201.47916793823242,166.0,224.0,0.4375,0.26933756470680237,0.4375,0.26933756470680237,0.5,3.630212813732214e-05,0.4161703661084175,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.3719,1.0332865715026855,2.0053475935828877e-06,38549.0,100.25,57.25,148.0,0.0,100.25,57.25,148.0,0.5625,0.375,0.5625,0.375,0.25,0.00021095100510137854,0.413534514605999,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.3405,1.2787675857543945,2.2727272727272728e-06,43248.0,156.6875,85.0,226.0,0.3125,111.22916793823242,85.0,144.25,0.4375,0.26933756470680237,0.4375,0.26933756470680237,0.5,0.00030993385007604957,0.32254495471715927,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.0075,0.7093778848648071,2.540106951871658e-06,48573.0,170.8125,131.5,213.0,0.125,159.0625,131.5,189.5,0.625,0.5386751294136047,0.625,0.5386751294136047,0.0,0.00012946146489412058,0.39340198785066605,0.0,0.0,0.0,0.0,0.0,0.01
10,0.0339,0.6166383624076843,2.807486631016043e-06,53018.0,147.0625,116.75,194.75,0.0625,140.5625,116.75,178.0,0.875,0.25,0.875,0.25,0.5,0.0005913268141739536,0.3606281876564026,0.0,0.0,0.0,0.0,0.0,0.01
11,0.0515,0.4637828767299652,3.074866310160428e-06,58102.0,171.25,123.0,226.25,0.1875,154.68750381469727,123.0,191.25,0.6875,0.125,0.6875,0.125,0.75,0.0001337478606728837,0.3304067477583885,0.0,0.0,0.0,0.0,0.0,0.01
12,0.1513,0.7566456198692322,3.342245989304813e-06,62626.0,153.25,93.75,216.5,0.1875,138.04166793823242,93.75,174.5,0.5,0.25,0.5,0.25,0.5,0.0010024738367064856,0.32676640897989273,0.0,0.0,0.0,0.0,0.0,0.01
13,0.0117,0.7702270150184631,3.6096256684491977e-06,68551.0,208.3125,169.25,242.0,0.375,136.35416793823242,105.25,159.75,0.375,0.39433756470680237,0.375,0.39433756470680237,0.25,0.00021959745208732784,0.31289881467819214,0.0,0.0,0.0,0.0,0.0,0.01
14,-0.3837,0.660724937915802,3.877005347593583e-06,73717.0,163.625,90.75,213.0,0.1875,152.1875,90.75,191.25,0.75,0.39433756470680237,0.75,0.39433756470680237,0.25,0.0008736787258385448,0.35117629170417786,0.0,0.0,0.0,0.0,0.0,0.01
15,-0.1398,0.6163777709007263,4.144385026737968e-06,78321.0,148.25,97.0,234.25,0.125,132.75,97.0,190.25,0.5,0.39433756470680237,0.5,0.39433756470680237,0.25,0.0006308666197583079,0.38942544162273407,0.0,0.0,0.0,0.0,0.0,0.01
16,-0.2572,0.43952977657318115,4.411764705882353e-06,82775.0,148.875,102.25,185.25,0.125,142.1875,102.25,178.75,0.5625,0.26933756470680237,0.5625,0.26933756470680237,0.5,0.0054194676340557635,0.3568623214960098,0.0,0.0,0.0,0.0,0.0,0.01
17,0.0559,0.7846346497535706,4.6791443850267385e-06,87555.0,159.25,102.75,211.5,0.0625,155.0625,102.75,210.75,0.625,0.4330126941204071,0.625,0.4330126941204071,0.25,0.0005584384343819693,0.3828560784459114,0.0,0.0,0.0,0.0,0.0,0.01
18,-0.0832,0.4538815915584564,4.9465240641711236e-06,92279.0,168.5,107.5,211.75,0.125,160.06250381469727,107.5,202.0,0.625,0.14433756470680237,0.625,0.14433756470680237,0.75,0.0008217269351007417,0.3439745083451271,0.0,0.0,0.0,0.0,0.0,0.01
