







step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
10,0.0454,0.492275208234787,4.987942122186496e-06,53761.0,190.50625,97.0,361.9,0.00625,188.52541809082032,97.0,348.4,0.49375,0.4249825417995453,0.49375,0.3943065211176872,0.15,6.57641548968968e-05,0.5614019811153412,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0412,0.33690977096557617,4.97454448017149e-06,104654.0,175.43125,83.3,341.0,0.01875,169.98845520019532,83.3,321.6,0.5125,0.45843747854232786,0.5125,0.3633804604411125,0.25,0.00019341918214195176,0.5847910389304161,0.0,0.0,0.0,0.0,0.0,0.01
30,0.0411,0.2783697247505188,4.961146838156485e-06,155826.0,174.225,69.1,400.1,0.025,166.01250457763672,69.1,347.6,0.5375,0.4450444936752319,0.5375,0.32845455706119536,0.3,0.00029808431572746484,0.5160845167934894,0.0,0.0,0.0,0.0,0.0,0.01
40,-0.0347,0.41433796286582947,4.94774919614148e-06,204648.0,169.5875,85.1,352.0,0.0125,165.77767944335938,85.1,343.1,0.51875,0.44581119418144227,0.51875,0.38105813711881636,0.2,0.00048393537326774094,0.5913086824119091,0.0,0.0,0.0,0.0,0.0,0.01
50,0.0234,0.2802223265171051,4.934351554126474e-06,255103.0,169.74375,77.5,382.1,0.00625,167.36875,77.5,360.1,0.41875,0.47921873927116393,0.41875,0.3229867234826088,0.3,0.0008343696004885715,0.5446433052420616,0.0,0.0,0.0,0.0,0.0,0.01
60,0.0345,0.32771536707878113,4.920953912111468e-06,305724.0,166.88125,76.4,415.6,0.025,158.15958557128906,76.4,324.8,0.53125,0.49142337441444395,0.53125,0.41155084073543546,0.15,0.001044847418961581,0.5285046435892582,0.0,0.0,0.0,0.0,0.0,0.02
70,0.0135,0.3138679563999176,4.907556270096464e-06,356285.0,175.20625,82.1,380.7,0.01875,168.83541870117188,82.1,329.6,0.575,0.4786228001117706,0.575,0.4195827037096024,0.05,0.001535981160850497,0.4872273102402687,0.0,0.0,0.0,0.0,0.0,0.02
80,0.0667,0.21891623735427856,4.894158628081458e-06,407988.0,181.94375,97.8,397.9,0.01875,175.86309661865235,97.8,354.8,0.45625,0.4373361527919769,0.45625,0.3833708569407463,0.15,0.001784501208749134,0.5405428893864155,0.0,0.0,0.0,0.0,0.0,0.02
90,0.0193,0.27718839049339294,4.880760986066453e-06,460816.0,188.325,98.9,370.0,0.0125,184.62666931152344,98.9,355.6,0.46875,0.47293677031993864,0.46875,0.40232034772634506,0.15,0.0024133977116434836,0.4725619196891785,0.0,0.0,0.0,0.0,0.0,0.02
100,0.001,0.2595694363117218,4.867363344051447e-06,511372.0,175.925,88.7,339.1,0.0125,171.8070846557617,88.7,289.4,0.53125,0.4114810943603516,0.53125,0.34801551401615144,0.25,0.003206197515828535,0.5159941729158163,0.0,0.0,0.0,0.0,0.0,0.03
110,0.0341,0.43407946825027466,4.853965702036443e-06,565872.0,196.475,92.5,413.8,0.03125,186.29553985595703,92.5,338.7,0.50625,0.4669326335191727,0.50625,0.3820966824889183,0.2,0.003782851854339242,0.4998568557202816,0.0,0.0,0.0,0.0,0.0,0.03
120,0.0502,0.35424578189849854,4.840568060021436e-06,621898.0,207.5125,108.6,379.6,0.025,200.98535919189453,108.6,341.0,0.43125,0.4377158522605896,0.43125,0.31624079346656797,0.35,0.003973360624513589,0.534888394922018,0.0,0.0,0.0,0.0,0.0,0.03
130,0.0467,0.20358137786388397,4.827170418006431e-06,673999.0,185.58125,91.0,330.5,0.0,185.58125,91.0,330.5,0.64375,0.4461698055267334,0.64375,0.351839604973793,0.2,0.0036748595419339837,0.4028878271579742,0.0,0.0,0.0,0.0,0.0,0.03
140,0.0387,0.002716952469199896,4.813772775991426e-06,728497.0,197.4125,94.7,358.0,0.01875,191.43440704345704,94.7,337.7,0.48125,0.4175929993391037,0.48125,0.32930321991443634,0.3,0.004232412346755155,0.5076887056231498,0.0,0.0,0.0,0.0,0.0,0.04
150,0.058,0.2634120583534241,4.800375133976421e-06,780606.0,176.53125,85.0,360.5,0.0125,172.24250183105468,85.0,344.5,0.66875,0.4517314851284027,0.66875,0.31036157310009005,0.3,0.0056588398816529665,0.44483645968139174,0.0,0.0,0.0,0.0,0.0,0.04
160,0.0482,0.22966314852237701,4.786977491961415e-06,835666.0,198.075,106.1,420.2,0.03125,188.59500732421876,106.1,351.1,0.44375,0.4147582739591599,0.44375,0.3343518152832985,0.25,0.0045954129134770485,0.5207996971905231,0.0,0.0,0.0,0.0,0.0,0.04
170,0.0176,0.29164162278175354,4.77357984994641e-06,889725.0,189.81875,94.9,373.1,0.025,182.7968490600586,94.9,348.8,0.4875,0.4597110629081726,0.4875,0.2689292788505554,0.35,0.004749675907078199,0.39652099683880804,0.0,0.0,0.0,0.0,0.0,0.05
180,0.0266,0.16341538727283478,4.760182207931404e-06,943206.0,187.35625,96.1,379.5,0.01875,181.48125305175782,96.1,344.0,0.5125,0.42781345546245575,0.5125,0.36466248631477355,0.2,0.004824043106054887,0.47235745266079904,0.0,0.0,0.0,0.0,0.0,0.05
190,0.032,0.34259116649627686,4.746784565916399e-06,995405.0,185.49375,95.0,345.8,0.00625,183.3750015258789,95.0,328.6,0.53125,0.47640961706638335,0.53125,0.376023656129837,0.15,0.00615495732636191,0.4013601616024971,0.0,0.0,0.0,0.0,0.0,0.05
200,0.0327,0.2299315333366394,4.733386923901393e-06,1049829.0,193.45,99.2,387.3,0.00625,190.96375045776367,99.2,354.7,0.4625,0.4582472532987595,0.4625,0.339625845849514,0.25,0.0053795918938703835,0.4626840576529503,0.0,0.0,0.0,0.0,0.0,0.05
210,0.0173,0.31653839349746704,4.719989281886389e-06,1100287.0,164.4125,89.3,302.4,0.0,164.4125,89.3,302.4,0.55625,0.4689340889453888,0.55625,0.3947359502315521,0.1,0.006263377843424678,0.4065341357141733,0.0,0.0,0.0,0.0,0.0,0.06
220,0.0539,0.2908531725406647,4.706591639871383e-06,1152087.0,176.5,101.4,363.0,0.0125,172.49750213623048,101.4,337.3,0.65,0.4388643890619278,0.65,0.4204274445772171,0.05,0.0067071624391246585,0.43905611112713816,0.0,0.0,0.0,0.0,0.0,0.06
230,0.0416,0.2970055043697357,4.693193997856378e-06,1200324.0,162.73125,90.4,296.1,0.00625,161.02875061035155,90.4,288.9,0.6625,0.4082479476928711,0.6625,0.3402490824460983,0.2,0.007159836823120713,0.38300437927246095,0.0,0.0,0.0,0.0,0.0,0.06
240,-0.0051,0.184923455119133,4.679796355841372e-06,1252335.0,173.81875,82.5,340.7,0.00625,171.6700012207031,82.5,318.2,0.51875,0.4431650161743164,0.51875,0.3478295534849167,0.25,0.0066145568853244185,0.4403544094413519,0.0,0.0,0.0,0.0,0.0,0.06
250,-0.0035,0.35792380571365356,4.666398713826367e-06,1307560.0,193.30625,97.1,361.4,0.00625,191.52541809082032,97.1,359.0,0.49375,0.4216842710971832,0.49375,0.3751710668206215,0.15,0.00667185002239421,0.38930054679512976,0.0,0.0,0.0,0.0,0.0,0.07
260,-0.0234,0.27093371748924255,4.653001071811361e-06,1360183.0,185.59375,92.3,387.4,0.025,178.02881317138673,92.3,344.8,0.6125,0.45345538854599,0.6125,0.38233622908592224,0.15,0.007523514551576227,0.40323262475430965,0.0,0.0,0.0,0.0,0.0,0.07
270,0.0279,0.24794070422649384,4.639603429796356e-06,1408955.0,166.475,79.3,380.2,0.025,158.00375366210938,79.3,318.7,0.6125,0.43219820857048036,0.6125,0.3112023904919624,0.3,0.007693899289006367,0.41308596469461917,0.0,0.0,0.0,0.0,0.0,0.07
